player_id,full_name,last_name,first_name,pos,shoots,height,weight,birthdate,team_name,division,jersey_number,rookie
9189,Arvin Jaswal,Jaswal,Arvin,G,R,6.02,178.0,2008-03-29,Barrie Colts,Central Division,1,1
9188,Teague Vader,Vader,Teague,D,L,6.00,192.0,2007-08-23,Barrie Colts,Central Division,6,1
9177,Noah Barton,Barton,Noah,D,R,6.02,184.0,2008-10-16,Barrie Colts,Central Division,7,1
8446,Grayson Tiller,Tiller,Grayson,D,L,5.10,190.0,2005-02-20,Barrie Colts,Central Division,8,0
8684,Zach Wigle,Wigle,Zach,C,L,6.00,193.0,2004-01-12,Barrie Colts,Central Division,9,0
8493,Tristan Bertucci,Bertucci,Tristan,D,L,6.02,187.0,2005-07-12,Barrie Colts,Central Division,12,0
8395,Anthony Romani,Romani,Anthony,RW,R,6.01,190.0,2005-07-12,Barrie Colts,Central Division,15,0
9037,Justin Handsor,Handsor,Justin,D,L,6.01,202.0,2007-09-24,Barrie Colts,Central Division,16,1
9185,Sam Black,Black,Sam,LW,L,6.01,186.0,2007-03-08,Barrie Colts,Central Division,17,1
8396,Owen Van Steensel,Van Steensel,Owen,LW,L,5.10,185.0,2004-08-04,Barrie Colts,Central Division,19,0
8925,Riley Patterson,Patterson,Riley,C,R,6.00 1/2,194.0,2006-03-22,Barrie Colts,Central Division,21,0
9335,Ethan Armstrong,Armstrong,Ethan,D,R,6.03,185.0,2007-01-23,Barrie Colts,Central Division,23,1
8589,Brad Gardiner,Gardiner,Brad,C,R,6.01,191.0,2005-03-06,Barrie Colts,Central Division,25,0
9098,Cole Dubowsky,Dubowsky,Cole,LW,L,6.00,185.0,2007-06-11,Barrie Colts,Central Division,27,1
9179,Emil Hemming,Hemming,Emil,RW,R,6.01,205.0,2006-06-27,Barrie Colts,Central Division,28,0
8761,Cole Beaudoin,Beaudoin,Cole,C,L,6.02,211.0,2006-04-24,Barrie Colts,Central Division,29,0
8841,Sam Hillebrandt,Hillebrandt,Sam,G,R,6.01,170.0,2005-02-21,Barrie Colts,Central Division,30,0
8449,Beau Jelsma,Jelsma,Beau,C,L,5.10,180.0,2004-04-28,Barrie Colts,Central Division,53,0
9072,Nolan Newton,Newton,Nolan,RW,R,5.09,165.0,2006-01-27,Barrie Colts,Central Division,61,0
9065,Ben Hrebik,Hrebik,Ben,G,R,6.03,204.0,2006-04-04,Barrie Colts,Central Division,62,0
8771,Bode Stewart,Stewart,Bode,LW,L,6.01,192.0,2006-02-09,Barrie Colts,Central Division,71,0
8803,Kashawn Aitcheson,Aitcheson,Kashawn,D,L,6.02,203.0,2006-09-21,Barrie Colts,Central Division,77,0
9260,Gabriel Eliasson,Eliasson,Gabriel,D,L,6.07,214.0,2006-09-09,Barrie Colts,Central Division,78,0
8924,Shamar Moses,Moses,Shamar,RW,R,6.01,202.0,2007-05-06,Barrie Colts,Central Division,78,0
8394,Dalyn Wakely,Wakely,Dalyn,C,R,6.01,198.0,2004-03-05,Barrie Colts,Central Division,81,0
9182,Jonah McCormick,McCormick,Jonah,LW,L,6.02,200.0,2008-10-08,Barrie Colts,Central Division,83,1
9009,Jaiden Newton,Newton,Jaiden,C,L,5.11,180.0,2007-10-13,Barrie Colts,Central Division,84,0
8800,Carter Lowe,Lowe,Carter,LW,L,6.03,220.0,2006-03-01,Barrie Colts,Central Division,85,0
8451,Beau Akey,Akey,Beau,D,R,6.00,183.0,2005-02-11,Barrie Colts,Central Division,86,0
9008,Evan Passmore,Passmore,Evan,D,R,6.05,217.0,2006-12-05,Barrie Colts,Central Division,88,0
8548,Michael Derbidge,Derbidge,Michael,LW,R,6.01,199.0,2005-04-04,Barrie Colts,Central Division,91,0
9175,Parker Vaughan,Vaughan,Parker,RW,R,6.01,189.0,2008-03-06,Barrie Colts,Central Division,94,1
8633,Tai York,York,Tai,LW,L,6.01,185.0,2004-06-18,Barrie Colts,Central Division,23,0
9306,Jack Martin,Martin,Jack,RW,R,5.11,170.0,2006-03-16,Barrie Colts,Central Division,74,0
