player_id,full_name,last_name,first_name,pos,shoots,height,weight,birthdate,team_name,division,jersey_number,rookie
8873,Jakub Chromiak,Chromiak,Jakub,RD,R,5.11,183.0,2005-11-02,Kitchener Rangers,Midwest Division,3,0
8465,Matthew Andonovski,Andonovski,Matthew,LD,L,6.02,200.0,2005-03-14,Kitchener Rangers,Midwest Division,5,0
8748,Carson Campbell,Campbell,Carson,RD,R,6.01,180.0,2006-06-08,Kitchener Rangers,Midwest Division,8,0
9170,Avry Anstis,Anstis,Avry,RW,R,6.00,165.0,2008-03-05,Kitchener Rangers,Midwest Division,9,1
8673,Adrian Misaljevic,Misaljevic,Adrian,LW,L,5.11,175.0,2004-07-10,Kitchener Rangers,Midwest Division,10,0
9078,Cameron Arquette,Arquette,Cameron,RW,R,5.08,170.0,2007-04-27,Kitchener Rangers,Midwest Division,11,1
9281,Haeden Ellis,Ellis,Haeden,RW,R,5.10,161.0,2007-03-07,Kitchener Rangers,Midwest Division,13,1
8603,Cameron Mercer,Mercer,Cameron,C,R,6.00,180.0,2005-05-27,Kitchener Rangers,Midwest Division,14,0
9169,Weston Cameron,Cameron,Weston,LW,L,6.03,170.0,2008-01-01,Kitchener Rangers,Midwest Division,17,1
8948,Cameron Reid,Reid,Cameron,LD,L,6.00,175.0,2007-04-08,Kitchener Rangers,Midwest Division,18,0
8801,Luke Ellinas,Ellinas,Luke,C,L,6.01,186.0,2006-03-12,Kitchener Rangers,Midwest Division,19,0
9161,Kaden Schneider,Schneider,Kaden,LD,L,6.03,181.0,2007-06-21,Kitchener Rangers,Midwest Division,21,1
9276,Jack Pridham,Pridham,Jack,RW,R,6.02,185.0,2005-10-08,Kitchener Rangers,Midwest Division,24,0
9081,Max Dirracolo,Dirracolo,Max,LD,L,6.04,216.0,2006-06-29,Kitchener Rangers,Midwest Division,25,0
8758,Andrew Vermeulen,Vermeulen,Andrew,C,L,6.02,200.0,2006-02-07,Kitchener Rangers,Midwest Division,27,0
8944,Matheas Stark,Stark,Matheas,LW,L,6.00,161.0,2007-01-14,Kitchener Rangers,Midwest Division,28,0
9053,Owen Edwards,Edwards,Owen,G,R,6.03,170.0,2007-01-02,Kitchener Rangers,Midwest Division,31,1
8464,Jackson Parsons,Parsons,Jackson,G,L,6.02,202.0,2004-11-23,Kitchener Rangers,Midwest Division,32,0
8945,Tanner Lam,Lam,Tanner,RW,R,5.10,160.0,2007-07-14,Kitchener Rangers,Midwest Division,37,0
9163,Jason Schaubel,Schaubel,Jason,G,L,6.00,165.0,2008-08-30,Kitchener Rangers,Midwest Division,39,1
8946,Andrew MacNiel,MacNiel,Andrew,RD,R,6.02,170.0,2007-07-25,Kitchener Rangers,Midwest Division,43,1
9324,Christian Humphreys,Humphreys,Christian,C,R,5.11,170.0,2006-02-04,Kitchener Rangers,Midwest Division,48,0
8362,Trent Swick,Swick,Trent,LW,L,6.06,208.0,2004-04-25,Kitchener Rangers,Midwest Division,57,0
9168,Matthew Hlacar,Hlacar,Matthew,LW,L,6.03,205.0,2006-05-31,Kitchener Rangers,Midwest Division,61,0
8796,Justin Bottineau,Bottineau,Justin,RW,R,6.00,168.0,2006-01-11,Kitchener Rangers,Midwest Division,77,0
9166,Evan Headrick,Headrick,Evan,RW,R,5.07,150.0,2008-01-08,Kitchener Rangers,Midwest Division,81,1
8450,Chris Grisolia,Grisolia,Chris,LW,L,6.00,187.0,2005-04-30,Kitchener Rangers,Midwest Division,85,0
8947,Luca Romano,Romano,Luca,C,R,5.11,170.0,2007-06-25,Kitchener Rangers,Midwest Division,86,0
9162,Alexander Bilecki,Bilecki,Alexander,LD,R,6.02,173.0,2008-05-09,Kitchener Rangers,Midwest Division,89,1
9165,Jack LaBrash,LaBrash,Jack,LW,L,6.05,196.0,2007-03-04,Kitchener Rangers,Midwest Division,93,1
9311,Jacob Xu,Xu,Jacob,LD,L,6.02,181.0,2008-03-13,Kitchener Rangers,Midwest Division,96,1
8653,Antonino Pugliese,Pugliese,Antonino,RW,R,5.09,179.0,2004-04-09,Kitchener Rangers,Midwest Division,44,0
