player_id,full_name,last_name,first_name,pos,shoots,height,weight,birthdate,team_name,division,jersey_number,rookie
9042,Henry Brzustewicz,Brzustewicz,Henry,D,R,6.02,205.0,2007-02-09,London Knights,Midwest Division,2,0
8826,Sam Dickinson,Dickinson,Sam,D,L,6.03,210.0,2006-06-07,London Knights,Midwest Division,3,0
9298,Andoni Fimis,Fimis,Andoni,D,R,6.01,185.0,2006-07-11,London Knights,Midwest Division,4,0
8425,Easton Cowan,Cowan,Easton,RW,L,6.00,185.0,2005-05-20,London Knights,Midwest Division,7,0
9368,Eddie Hickson,Hickson,Eddie,C,L,5.10,180.0,2008-04-30,London Knights,Midwest Division,10,0
9041,Ryder Boulton,Boulton,Ryder,LW,L,5.10,195.0,2006-06-21,London Knights,Midwest Division,11,0
8931,Kasper Halttunen,Halttunen,Kasper,RW,R,6.03,207.0,2005-06-07,London Knights,Midwest Division,12,0
8879,Jacob Julien,Julien,Jacob,C,L,6.04,190.0,2004-09-12,London Knights,Midwest Division,13,0
9044,Evan Van Gorp,Van Gorp,Evan,LW,L,5.10,165.0,2006-05-18,London Knights,Midwest Division,14,0
8566,Cam Allen,Allen,Cam,D,R,6.00,197.0,2005-01-07,London Knights,Midwest Division,17,0
8982,Blake Arrowsmith,Arrowsmith,Blake,RW,R,6.00,182.0,2007-04-17,London Knights,Midwest Division,18,1
8712,Sam O'Reilly,O'Reilly,Sam,C,R,6.01,190.0,2006-03-30,London Knights,Midwest Division,23,0
9333,Jaxon Cover,Cover,Jaxon,LW,L,6.01,185.0,2008-02-13,London Knights,Midwest Division,24,1
9064,Noah Jenken,Jenken,Noah,D,L,6.03,190.0,2007-03-08,London Knights,Midwest Division,24,1
9110,Logan Hawery,Hawery,Logan,C,R,5.10,170.0,2008-03-15,London Knights,Midwest Division,26,1
9367,Brody Cook,Cook,Brody,RW,R,5.11,180.0,2007-04-04,London Knights,Midwest Division,27,0
8472,Alec Leonard,Leonard,Alec,D,R,5.11,174.0,2004-05-13,London Knights,Midwest Division,27,0
9264,Austin Elliott,Elliott,Austin,G,L,6.01,180.0,2004-05-14,London Knights,Midwest Division,31,0
9111,Cohen Bidgood,Bidgood,Cohen,RW,R,6.00,185.0,2007-01-11,London Knights,Midwest Division,34,1
9109,Jesse Nurmi,Nurmi,Jesse,LW,L,6.00,180.0,2005-03-07,London Knights,Midwest Division,44,0
9275,Blake Montgomery,Montgomery,Blake,LW,L,6.04,195.0,2005-05-04,London Knights,Midwest Division,47,0
8736,Liam Spencer,Spencer,Liam,D,L,6.05,220.0,2006-01-19,London Knights,Midwest Division,49,0
9043,Jared Woolley,Woolley,Jared,D,L,6.05,215.0,2006-02-27,London Knights,Midwest Division,51,0
9052,Rene Van Bommel,Van Bommel,Rene,C,L,5.11,185.0,2006-05-14,London Knights,Midwest Division,55,0
8426,Oliver Bonk,Bonk,Oliver,D,R,6.02,210.0,2005-01-09,London Knights,Midwest Division,59,0
8981,PJ Fagan II,Fagan II,PJ,D,L,6.01,205.0,2007-05-02,London Knights,Midwest Division,67,1
8714,William Nicholl,Nicholl,William,C,L,6.00,184.0,2006-05-24,London Knights,Midwest Division,73,0
9245,Noah Aboflan,Aboflan,Noah,LW,L,6.00,192.0,2005-03-03,London Knights,Midwest Division,74,0
9115,Caleb Mitchell,Mitchell,Caleb,D,L,5.11,180.0,2008-03-17,London Knights,Midwest Division,77,0
8983,Aleksei Medvedev,Medvedev,Aleksei,G,L,6.03,180.0,2007-09-10,London Knights,Midwest Division,78,1
8538,Denver Barkey,Barkey,Denver,LW,L,5.10,171.0,2005-04-27,London Knights,Midwest Division,86,0
8422,Landon Sim,Sim,Landon,LW,L,5.11,185.0,2004-07-17,London Knights,Midwest Division,90,0
9242,Noah Read,Read,Noah,LW,L,6.00,170.0,2007-01-06,London Knights,Midwest Division,92,1
9114,Finn Wilson,Wilson,Finn,G,L,6.01,190.0,2006-01-03,London Knights,Midwest Division,1,0
8655,Ruslan Gazizov,Gazizov,Ruslan,RW,L,5.11,185.0,2004-01-21,London Knights,Midwest Division,70,0
8695,Owen Willmore,Willmore,Owen,G,L,6.03,180.0,2004-12-14,London Knights,Midwest Division,80,0
9083,Brendan Gerber,Gerber,Brendan,LW,L,5.09,179.0,2007-02-24,London Knights,Midwest Division,89,1
