player_id,full_name,last_name,first_name,pos,shoots,height,weight,birthdate,team_name,division,jersey_number,rookie
9220,Keegan Gillen,Gillen,Keegan,D,R,5.10.,180.0,2007-04-24,Soo Greyhounds,West Division,3,1
8571,Caeden Carlisle,Carlisle,Caeden,D,L,6.01.25,197.0,2004-01-31,Soo Greyhounds,West Division,7,0
8810,Brodie McConnell-Barker,McConnell-Barker,Brodie,D,L,5.11.5,185.0,2006-01-31,Soo Greyhounds,West Division,8,0
8899,Tate Vader,Vader,Tate,C,L,5.11,190.0,2006-01-09,Soo Greyhounds,West Division,9,0
9125,Brady T Smith,Smith,Brady T,RW,R,6.00,181.0,2008-04-13,Soo Greyhounds,West Division,11,1
9221,Brady R Smith,Smith,Brady R,C,L,5.11.,173.0,2007-04-12,Soo Greyhounds,West Division,12,1
9017,Travis Hayes,Hayes,Travis,RW,R,5.11,169.0,2007-09-03,Soo Greyhounds,West Division,13,0
8572,Owen Allard,Allard,Owen,C,L,6.02,200.0,2004-01-13,Soo Greyhounds,West Division,14,0
8900,Spencer Evans,Evans,Spencer,D,L,6.00,189.0,2006-05-12,Soo Greyhounds,West Division,16,0
9057,Hunter Solomon,Solomon,Hunter,D,R,6.00.,180.0,2007-12-04,Soo Greyhounds,West Division,17,1
9036,Brayden Velliaris,Velliaris,Brayden,D,R,6.04,220.0,2005-04-16,Soo Greyhounds,West Division,18,0
8979,Charlie Hilton,Hilton,Charlie,LW,L,6.05,212.0,2006-09-15,Soo Greyhounds,West Division,20,0
9223,Erik Muxlow,Muxlow,Erik,LW,L,5.10.,183.0,2007-03-21,Soo Greyhounds,West Division,22,1
9172,David Holub,Holub,David,D,R,5.09,180.0,2007-04-11,Soo Greyhounds,West Division,23,1
8579,Justin Cloutier,Cloutier,Justin,RW,R,5.09,186.0,2005-06-20,Soo Greyhounds,West Division,24,0
9299,Chase Reid,Reid,Chase,D,R,6.02,185.0,2007-12-30,Soo Greyhounds,West Division,25,1
8577,Marco Mignosa,Mignosa,Marco,RW,R,5.11,170.0,2005-04-13,Soo Greyhounds,West Division,26,0
9279,Jordan Charron,Charron,Jordan,RW,R,6.02,190.0,2007-06-21,Soo Greyhounds,West Division,27,1
8809,Landon Miller,Miller,Landon,G,R,6.04.5,203.0,2006-01-03,Soo Greyhounds,West Division,36,0
9265,Noel Nordh,Nordh,Noel,LW,L,6.02,198.0,2005-01-25,Soo Greyhounds,West Division,43,0
9018,Brady Martin,Martin,Brady,C,R,6.00,174.0,2007-03-16,Soo Greyhounds,West Division,44,0
8814,Christopher Brown,Brown,Christopher,C,L,5.11.25,180.0,2006-01-27,Soo Greyhounds,West Division,67,0
9222,Carson Andrew,Andrew,Carson,RW,R,6.01,184.0,2008-03-10,Soo Greyhounds,West Division,71,1
8528,Nolan Lalonde,Lalonde,Nolan,G,L,6.02,197.0,2004-02-14,Soo Greyhounds,West Division,79,0
