player_id,full_name,last_name,first_name,pos,shoots,height,weight,birthdate,team_name,division,jersey_number,rookie
8602,Wyatt Kennedy,Kennedy,Wyatt,D,R,6.05,202.0,2005-05-27,Windsor Spitfires,West Division,2,0
8941,Michael Lavigne,Lavigne,Michael,D,L,6.05,213.0,2007-01-17,Windsor Spitfires,West Division,3,0
8939,Josef Eichler,Eichler,Josef,D,R,6.00,194.0,2005-12-14,Windsor Spitfires,West Division,5,0
8710,AJ Spellacy,Spellacy,AJ,C,R,6.03,204.0,2006-02-24,Windsor Spitfires,West Division,8,0
8955,Shawn Costello,Costello,Shawn,C,L,6.02,188.0,2007-01-20,Windsor Spitfires,West Division,10,0
8711,Noah Morneau,Morneau,Noah,C,L,6.00,182.0,2004-05-07,Windsor Spitfires,West Division,11,0
8401,Ryan Abraham,Abraham,Ryan,C,L,5.08,168.0,2004-04-05,Windsor Spitfires,West Division,12,0
9358,Andrew Robinson,Robinson,Andrew,D,L,6.00,185.0,2008-01-08,Windsor Spitfires,West Division,13,1
9095,Nathan Gaymes,Gaymes,Nathan,RW,R,5.11,177.0,2006-02-03,Windsor Spitfires,West Division,19,0
9106,Jean-Christoph Lemieux,Lemieux,Jean-Christoph,C,L,5.11,176.0,2008-06-19,Windsor Spitfires,West Division,22,1
8907,Carson Woodall,Woodall,Carson,D,L,5.11,183.0,2006-05-25,Windsor Spitfires,West Division,24,0
8898,Alec Stewart,Stewart,Alec,C,L,6.00,186.0,2005-04-02,Windsor Spitfires,West Division,25,0
8778,Conor Walton,Walton,Conor,D,L,6.05,204.0,2006-04-22,Windsor Spitfires,West Division,28,0
8364,Luke McNamara,McNamara,Luke,C,L,6.03,182.0,2005-03-02,Windsor Spitfires,West Division,29,0
9248,Michael Newlove,Newlove,Michael,G,L,6.02,171.0,2007-01-14,Windsor Spitfires,West Division,30,1
8466,Joey Costanzo,Costanzo,Joey,G,L,6.01,174.0,2005-07-26,Windsor Spitfires,West Division,33,0
9105,Max Brocklehurst,Brocklehurst,Max,RW,L,5.09,155.0,2008-12-30,Windsor Spitfires,West Division,42,0
8708,Anthony Cristoforo,Cristoforo,Anthony,D,R,6.00,180.0,2006-02-23,Windsor Spitfires,West Division,44,0
9107,Carter Hicks,Hicks,Carter,D,R,6.01,182.0,2008-02-20,Windsor Spitfires,West Division,58,1
9102,Ethan Belchetz,Belchetz,Ethan,LW,L,6.05,226.0,2008-03-30,Windsor Spitfires,West Division,61,1
8709,Liam Greentree,Greentree,Liam,LW,L,6.03,216.0,2006-01-01,Windsor Spitfires,West Division,66,0
8942,Jack Nesbitt,Nesbitt,Jack,C,L,6.04,182.0,2007-01-12,Windsor Spitfires,West Division,71,0
8412,Ethan Martin,Martin,Ethan,LW,L,6.06,222.0,2005-03-25,Windsor Spitfires,West Division,72,0
8393,Tnias Mathurin,Mathurin,Tnias,D,L,6.03,200.0,2004-01-15,Windsor Spitfires,West Division,74,0
9108,Ethan Garden,Garden,Ethan,LW,L,5.08,166.0,2008-04-13,Windsor Spitfires,West Division,77,1
8831,Cole Davis,Davis,Cole,LW,L,5.10,184.0,2006-06-22,Windsor Spitfires,West Division,78,0
8938,Carter Froggett,Froggett,Carter,G,L,6.04,215.0,2006-04-07,Windsor Spitfires,West Division,88,0
8940,Adrian Manzo,Manzo,Adrian,D,R,6.00,183.0,2007-08-28,Windsor Spitfires,West Division,89,0
8768,Tanner Winegard,Winegard,Tanner,D,R,6.06,226.0,2005-01-11,Windsor Spitfires,West Division,91,0
8400,Owen Outwater,Outwater,Owen,LW,L,6.02,187.0,2005-01-04,Windsor Spitfires,West Division,93,0
9050,Evan Hjelholt,Hjelholt,Evan,D,L,6.03,209.0,2006-12-14,Windsor Spitfires,West Division,7,0
8411,Jack Greenwell,Greenwell,Jack,RW,R,6.00,176.0,2005-01-05,Windsor Spitfires,West Division,10,0
9104,Jake Windbiel,Windbiel,Jake,G,L,6.04,223.0,2008-02-11,Windsor Spitfires,West Division,34,0
9103,Ilya Protas,Protas,Ilya,C,L,6.05,200.0,2006-07-18,Windsor Spitfires,West Division,37,0
